economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
SVK,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.024846734456409614714389209,PASS_COMPATIBLE_SCALE
SVN,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000010153774391338443520210,PASS_COMPATIBLE_SCALE
SVN,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000010153774391338443520210,PASS_COMPATIBLE_SCALE
SVN,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000425650036390355054537,PASS_COMPATIBLE_SCALE
SWE,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.087853810190178503500116961,PASS_COMPATIBLE_SCALE
SWE,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.087853810190178503500116961,PASS_COMPATIBLE_SCALE
SWE,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000000136990229173106771908,PASS_COMPATIBLE_SCALE
SWZ,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,0.8620363138465312075470493243,PASS_COMPATIBLE_SCALE
TUR,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9867291255249854795913690160,PASS_COMPATIBLE_SCALE
TUR,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,0.9867291255249854795913690160,PASS_COMPATIBLE_SCALE
USA,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.002393529194029327275538042,PASS_COMPATIBLE_SCALE
