economy_code,heading_code,ppp,nominal_expenditure,published_real_expenditure,calculated_real_expenditure,relative_error,tolerance,status
AUS,1103000,1.24903094768524,41.2772772548021,33.047441563637,33.04744156363699060767418164,0.0000000000000002842073508254458008654347893,0.005,PASS
AUS,1105000,1.49286460876465,56.8188198174771,38.0602631235895,38.06026312358951696880690995,0.0000000000000004458405044350007507076468368,0.005,PASS
AUS,1107000,1.56071376800537,95.7392158342727,61.3432250018719,61.34322500187189152914549540,0.0000000000000001380894875406617485186446470,0.005,PASS
AUS,1108000,0.683928430080414,24.6086690841824,35.9813512669579,35.98135126695785349823643268,0.000000000000001292385136464375058575677427,0.005,PASS
AUS,1111000,1.75748264789581,69.9032324524562,39.7746359181125,39.77463591811252939113407647,0.0000000000000007389416244307071036569518311,0.005,PASS
AUS,9020000,1.48418915271759,1411.6693789273,951.138455864939,951.1384558649385381411807775,0.0000000000000004855852650837236587219566707,0.005,PASS
AUS,9060000,1.59718894958496,267.323518549429,167.371254740333,167.3712547403328614109356008,0.0000000000000008280338497444681624786574872,0.005,PASS
AUS,9080000,1.24232876300812,223.773718972536,180.124396726274,180.1243967262741303032864370,0.0000000000000007234072052716732240896496932,0.005,PASS
AUS,9100000,1.50987136363983,1086.7613166,719.770798209032,719.7707982090319638587085902,0.00000000000000005021222241820379982056179961,0.005,PASS
AUS,9110000,1.53612518310547,128.418514346809,83.598990342177,83.59899034217695947284694446,0.0000000000000004847804128932573546333978217,0.005,PASS
AUS,9120000,1.08198630809784,130.028758748786,120.175974294333,120.1759742943327363020960567,0.000000000000002194264747939180205394609680,0.005,PASS
AUS,9140000,1.45557022094727,230.338011512991,158.245894425546,158.2458944255464443257932411,0.000000000000002807818773776487066985201111,0.005,PASS
AUT,1000000,0.713469207286835,405.241500019,567.987371956869,567.9873719568689699102199501,0.00000000000000005297614266710301793360085524,0.005,PASS
AUT,1101000,0.911517202854156,21.0210037390526,23.0615545962614,23.06155459626140415096164480,0.0000000000000001799948753443069636321146370,0.005,PASS
AUT,1102000,0.633885562419891,7.5758407206593,11.9514328291973,11.95143282919733218015068624,0.000000000000002692576793606204904908267863,0.005,PASS
AUT,1102100,0.601504445075989,3.296275605714,5.48005194757551,5.480051947575510156962654796,0.00000000000000002864254870164936536808959810,0.005,PASS
AUT,1102200,0.638569891452789,3.9107445155972,6.12422315543252,6.124223155432518069779875631,0.0000000000000003151779540653722686412535185,0.005,PASS
AUT,1103000,0.930534482002258,9.7525602902289,10.4806006428091,10.48060064280910205297318262,0.0000000000000001958831609549569300792888992,0.005,PASS
AUT,1105000,0.944778084754944,14.1825502057098,15.0115148039113,15.01151480391129285327070831,0.0000000000000004760831525028970404516017801,0.005,PASS
AUT,1107000,1.11433207988739,22.3044882096057,20.0160155237205,20.01601552372045459565891740,0.000000000000002268400572970799518457914365,0.005,PASS
