economy_code,armilar_category,chosen_source_id,candidate_source_id,chosen_value_lcu,candidate_value_lcu,relative_difference,candidate_complete_proxy_set,candidate_missing_proxy_categories,selection_basis,status
BLZ,CP10,,UNDATA_SNA_TABLE32,,,,false,CP06|CP09|CP10|CP12,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,CANDIDATE_MISSING_CATEGORY
BLZ,CP12,,UNDATA_SNA_TABLE32,,,,false,CP06|CP09|CP10|CP12,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,CANDIDATE_MISSING_CATEGORY
BMU,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,1212528800,1212528800,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BMU,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,81354700,81354700,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BMU,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,158487100,158487100,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BMU,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,112329900,112329900,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BMU,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,773273600,773273600,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BTN,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,13118928688.0606,13118928688.0606,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BTN,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,3607654924.92366,3607654924.92366,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BTN,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,3514388215.56893,3514388215.56893,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BTN,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,2869551203.49842,2869551203.49842,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BTN,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,8794226858.77933,8794226858.77933,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
