economic_gap_rank,source_adjusted_priority_rank,economy_code,economy_name,categories_available,missing_categories,direct_categories_available,direct_real_expenditure_ppp_indicator,direct_expenditure_share_of_participant_indicator,cumulative_direct_expenditure_share_of_incomplete_economies,source_probe_class,source_probe_best_source_id,source_probe_retrieval_status,candidate_success_probability_assumption,integration_cost_assumption,development_priority_score,blocking_reason
66,,ALB,Albania,7,CP04|CP06|CP09|CP10|CP12,7,11630422124.97936701139601377,0.0003671051409143711283156056982,0.4961151404073375940882884882,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
67,,PSE,West Bank and Gaza,7,CP04|CP06|CP09|CP10|CP12,7,11423307607.76649393779234016,0.0003605677338271817972122934707,0.4964757081411647758855007817,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
68,,TCD,Chad,7,CP04|CP06|CP09|CP10|CP12,7,11284565314.53162130435365930,0.0003561884422966208395150521650,0.4968318965834613967250158339,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
69,,ZMB,Zambia,7,CP04|CP06|CP09|CP10|CP12,7,10819903371.36898413642735073,0.0003415217529633161772657784147,0.4971734183364247129022816123,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
70,,RWA,Rwanda,7,CP04|CP06|CP09|CP10|CP12,7,10802138677.55382088990314125,0.0003409610243537922361583453299,0.4975143793607785051384399576,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
71,,BHR,Bahrain,7,CP04|CP06|CP09|CP10|CP12,7,10564356385.44779354939700706,0.0003334556130357417158318541890,0.4978478349738142468542718118,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
72,,SSD,South Sudan,7,CP04|CP06|CP09|CP10|CP12,7,10210385762.24598551202974628,0.0003222828082902494679061206131,0.4981701177821044963221779324,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
73,,TJK,Tajikistan,7,CP04|CP06|CP09|CP10|CP12,7,9786142989.743866530398258244,0.0003088919183373561909821084095,0.4984790097004418525131600408,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
74,,MKD,North Macedonia,7,CP04|CP06|CP09|CP10|CP12,7,9286097312.787637077641900480,0.0002931083692339770753455093658,0.4987721180696758295885055502,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
75,,XKX,Kosovo,7,CP04|CP06|CP09|CP10|CP12,7,8872739973.587076486319708527,0.0002800610694348323813272569764,0.4990521791391106619698328072,NOT_PROBED,,NOT_PROBED,,NOT_ESTIMATED,0.0000000000000000000000000000000,NOT_INCLUDED_IN_TOP10_SOURCE_PROBE
