economy_code,economy_name,icp_participation_status,eligible_complete_12_category_matrix,included_in_observed_research_weights,official_imputation_category_detail_available,participation_status_basis
SYC,Seychelles,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
SYR,Syrian Arab Republic,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TCA,Turks and Caicos Islands,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TCD,Chad,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TGO,Togo,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
THA,Thailand,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TJK,Tajikistan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TKM,Turkmenistan,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TLS,Timor-Leste,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TTO,Trinidad and Tobago,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TUN,Tunisia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TUR,Turkiye,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TWN,"Taiwan, China",PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
TZA,Tanzania,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
UGA,Uganda,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
UKR,Ukraine,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
UMB,Upper middle income (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
URY,Uruguay,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
USA,United States,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
UZB,Uzbekistan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
VCT,St. Vincent and the Grenadines,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
VGB,British Virgin Islands,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
VIR,Virgin Islands (U.S.),OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
VNM,Viet Nam,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
WLD,WORLD (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
XKX,Kosovo,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ZAF,South Africa,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ZMB,Zambia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ZWE,Zimbabwe,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
