economy_code,economy_name,check,measure_basis,reported_value,derived_value,difference,relative_error,tolerance,status,missing_heading_codes
CAN,Canada,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,47.6744886898632,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
CAN,Canada,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
CAN,Canada,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
CHE,Switzerland,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,13.8963461696699,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
CHE,Switzerland,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
CHE,Switzerland,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
CHL,Chile,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,5351.33109534158,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
CHL,Chile,NOMINAL_HFCE_EQUALS_SUM_OF_13_PUBLISHED_CATEGORIES_INCLUDING_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1104000|1106000|1109000|1110000|1112000
CHL,Chile,NOMINAL_HFCE_MINUS_ARMILAR_EQUALS_NARCOTICS_PLUS_NET_PURCHASES_ABROAD,NOMINAL_EXPENDITURE_LCU,,,,,0.005,NOT_TESTED_MISSING_INPUT,1100000|1102300|1104000|1106000|1109000|1110000|1112000
CHN,China,NOMINAL_CP02_PARENT_EQUALS_ALCOHOL_TOBACCO_NARCOTICS,NOMINAL_EXPENDITURE_LCU,1187.80976068338,,,,0.005,NOT_TESTED_MISSING_INPUT,1102300
