economy_code,economy_name,armilar_category,heading_code,reason,data_status,included_in_candidate_weights
LBN,Lebanon,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBN,Lebanon,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBN,Lebanon,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBR,Liberia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBR,Liberia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBR,Liberia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBR,Liberia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LBR,Liberia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LCA,St. Lucia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LCA,St. Lucia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LCA,St. Lucia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LCA,St. Lucia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LCA,St. Lucia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LKA,Sri Lanka,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LKA,Sri Lanka,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LKA,Sri Lanka,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LKA,Sri Lanka,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LKA,Sri Lanka,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LSO,Lesotho,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LSO,Lesotho,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LSO,Lesotho,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LSO,Lesotho,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LSO,Lesotho,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LTU,Lithuania,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LTU,Lithuania,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LTU,Lithuania,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LTU,Lithuania,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LTU,Lithuania,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LUX,Luxembourg,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LUX,Luxembourg,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LUX,Luxembourg,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LUX,Luxembourg,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LUX,Luxembourg,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LVA,Latvia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LVA,Latvia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LVA,Latvia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LVA,Latvia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
LVA,Latvia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MAR,Morocco,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MAR,Morocco,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MAR,Morocco,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MAR,Morocco,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MAR,Morocco,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDA,Moldova,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDA,Moldova,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDA,Moldova,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDA,Moldova,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDA,Moldova,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDG,Madagascar,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDG,Madagascar,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDG,Madagascar,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDG,Madagascar,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDG,Madagascar,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDV,Maldives,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDV,Maldives,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDV,Maldives,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDV,Maldives,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MDV,Maldives,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MEX,Mexico,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MEX,Mexico,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MEX,Mexico,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MEX,Mexico,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MEX,Mexico,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MKD,North Macedonia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MKD,North Macedonia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MKD,North Macedonia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MKD,North Macedonia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MKD,North Macedonia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLI,Mali,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLI,Mali,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLI,Mali,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLI,Mali,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLI,Mali,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLT,Malta,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLT,Malta,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLT,Malta,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLT,Malta,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MLT,Malta,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNE,Montenegro,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNE,Montenegro,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNE,Montenegro,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNE,Montenegro,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNE,Montenegro,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNG,Mongolia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNG,Mongolia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNG,Mongolia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNG,Mongolia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MNG,Mongolia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MOZ,Mozambique,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MOZ,Mozambique,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MOZ,Mozambique,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MOZ,Mozambique,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MOZ,Mozambique,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MRT,Mauritania,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MRT,Mauritania,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MRT,Mauritania,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MRT,Mauritania,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MRT,Mauritania,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MSR,Montserrat,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MSR,Montserrat,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MSR,Montserrat,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MSR,Montserrat,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MSR,Montserrat,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MUS,Mauritius,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MUS,Mauritius,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MUS,Mauritius,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MUS,Mauritius,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MUS,Mauritius,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MWI,Malawi,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MWI,Malawi,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MWI,Malawi,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MWI,Malawi,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MWI,Malawi,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MYS,Malaysia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MYS,Malaysia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MYS,Malaysia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MYS,Malaysia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
MYS,Malaysia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NAM,Namibia,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NAM,Namibia,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NAM,Namibia,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NAM,Namibia,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NAM,Namibia,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NER,Niger,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NER,Niger,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NER,Niger,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NER,Niger,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NER,Niger,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NGA,Nigeria,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NGA,Nigeria,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NGA,Nigeria,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NGA,Nigeria,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NGA,Nigeria,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NIC,Nicaragua,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NIC,Nicaragua,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NIC,Nicaragua,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NIC,Nicaragua,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NIC,Nicaragua,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NLD,Netherlands,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NLD,Netherlands,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NLD,Netherlands,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NLD,Netherlands,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NLD,Netherlands,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NOR,Norway,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NOR,Norway,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NOR,Norway,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NOR,Norway,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NOR,Norway,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NPL,Nepal,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NPL,Nepal,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NPL,Nepal,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NPL,Nepal,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NPL,Nepal,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NZL,New Zealand,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NZL,New Zealand,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NZL,New Zealand,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NZL,New Zealand,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
NZL,New Zealand,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
OMN,Oman,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
OMN,Oman,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
OMN,Oman,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
OMN,Oman,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
OMN,Oman,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
PAK,Pakistan,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
PAK,Pakistan,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
PAK,Pakistan,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
PAK,Pakistan,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
